Parent Item Group;Item Group;Revenue Account;Expense Account
Products;Arzneimittel;4030 - Erlöse 10 %;5030 - Wareneinkauf 10 %
Products;Brennholz;4043 - Erlöse 13 %;5033 - Wareneinkauf 13 %
Products;Bücher & Druckerzeugnisse;4030 - Erlöse 10 %;5030 - Wareneinkauf 10 %
Products;Grundnahrungsmittel;4030 - Erlöse 10 %;5030 - Wareneinkauf 10 %
Products;Kunstgegenstände & Sammlerstücke;4043 - Erlöse 13 %;5033 - Wareneinkauf 13 %
Products;Landwirtschaftliche Produkte & Futtermittel;4043 - Erlöse 13 %;5033 - Wareneinkauf 13 %
Products;Lebende Tiere & Pflanzen;4043 - Erlöse 13 %;5033 - Wareneinkauf 13 %
Products;Milch & Milchmischgetränke;4030 - Erlöse 10 %;5030 - Wareneinkauf 10 %
Products;Milch & Milchmischgetränke (pflanzlich);4030 - Erlöse 10 %;5030 - Wareneinkauf 10 %
Products;Produkte Normalsteuersatz;4000 - Erlöse 20 %;5000 - Wareneinkauf 20 %
Products;Speisen in der Gastronomie;4300 - Erlöse Küche 10 %;5410 - Einkauf Küche 10 %
Services;Beherbergung;4310 - Beherbergungserlöse 10 %;5700 - Fremdleistungen
Services;Campingvermietung;4310 - Beherbergungserlöse 10 %;5700 - Fremdleistungen
Services;Dienstleistung Normalsteuersatz;4000 - Erlöse 20 %;5700 - Fremdleistungen
Services;Elektronische Publikation;4030 - Erlöse 10 %;5700 - Fremdleistungen
Services;Filmvorführungen & Zirkus;4043 - Erlöse 13 %;5700 - Fremdleistungen
Services;Gemeinnützige Leistungen;4095 - Honorare 0 %;5780 - Aufwand für satzungsmäßige Aufgabenerfüllung
Services;Inland Luftbeförderung;4043 - Erlöse 13 %;7300 - Transporte durch Dritte
Services;Kranken- & Pflegeanstalten;4095 - Honorare 0 %;5700 - Fremdleistungen
Services;Kulturelle Leistungen Theater Museum;4043 - Erlöse 13 %;5700 - Fremdleistungen
Services;Künstlerische Tätigkeiten;4043 - Erlöse 13 %;5700 - Fremdleistungen
Services;Müllbeseitigung & Abfallentsorgung;4030 - Erlöse 10 %;7225 - Abfallentsorgung
Services;Personenbeförderung Inland;4030 - Erlöse 10 %;7300 - Transporte durch Dritte
Services;Reparatur Fahrräder Schuhe Kleidung;4030 - Erlöse 10 %;5700 - Fremdleistungen
Services;Schwimmbäder & Thermalbehandlung;4043 - Erlöse 13 %;5700 - Fremdleistungen
Services;Sportveranstaltungen;4043 - Erlöse 13 %;5700 - Fremdleistungen
Services;Vermietung Gewerblich;4850 - Miet- und Pachterlöse 20 %;7400 - Mietaufwand unbewegliche Wirtschaftsgüter 20 %
Services;Vermietung Wohnzwecke;4851 - Miet- und Pachterlöse 10 %;7401 - Mietaufwand unbewegliche Wirtschaftsgüter 10 %
